IFA/O0027/RF19|96|3/11/2019|3/15/2019
ALB/O0065/RF19|96|3/11/2019|3/15/2019
GSCH/O0031/RF19|96|3/11/2019|3/15/2019
BTE/O0048/RF19|96|3/11/2019|3/15/2019
CAE/O0024/RF19|0|3/12/2019|3/17/2019
NJU/O0020/RF19|0|3/12/2019|3/17/2019
NJU/O0023/RF19|0|3/12/2019|3/17/2019
MOYR/O0037/RF19|0|3/12/2019|3/17/2019
WEC/O0031/RF19|0|3/12/2019|3/17/2019
GAB/O0028/RF19|0|3/12/2019|3/17/2019
LDO/O0020/RF19|0|3/12/2019|3/17/2019
ALB/O0066/RF19|96|3/13/2019|3/17/2019
MOYR/O0015/RF19|96|3/15/2019|3/19/2019
EVAS/O0030/RF19|0|3/18/2019|3/23/2019
GOY/O0018/RF19|0|3/18/2019|3/23/2019
FLO/O0045/RF19|0|3/18/2019|3/23/2019
WEC/O0042/RF19|0|3/18/2019|3/23/2019
BAR/O0028/RF19|0|3/18/2019|3/23/2019
CAE/O0031/RF19|0|3/18/2019|3/23/2019
WLC/O0038/RF19|0|3/18/2019|3/23/2019
BTE/O0055/RF19|0|3/20/2019|3/25/2019
NJU/O0028/RF19|0|3/20/2019|3/25/2019
WLE/O0058/RF19|96|3/21/2019|3/25/2019
CAE/O0032/RF19|96|3/21/2019|3/25/2019
AT0/O0089/RF19|0|3/22/2019|3/27/2019
CAA/O0043/RF19|0|3/22/2019|3/27/2019
JBS/O0054/RF19|0|3/22/2019|3/27/2019
RBK/O0054/RF19|96|3/25/2019|3/29/2019
AT0/O0090/RF19|0|3/26/2019|3/31/2019
ALB/O0095/RF19|0|3/28/2019|4/2/2019
RBK/O0059/RF19|97|3/29/2019|4/2/2019
EAN/O0090/RF19|97|3/29/2019|4/2/2019
AMD/O0120/RF19|0|3/29/2019|4/16/2019
AT0/O0085/RF19|97|3/29/2019|4/2/2019
AMD/O0114/RF19|97|3/29/2019|4/2/2019
CAE/O0042/RF19|0|4/1/2019|4/6/2019
RLB/O0065/RF19|0|4/1/2019|4/6/2019
RLB/O0066/RF19|0|4/1/2019|4/6/2019
CAE/O0044/RF19|0|4/1/2019|4/6/2019
DTS/O0029/RF19|0|4/1/2019|4/6/2019
AMD/O0123/RF19|0|4/1/2019|4/6/2019
ALB/O0096/RF19|0|4/1/2019|4/8/2019
ANGE/O0067/RF19|0|4/1/2019|4/6/2019
BTE/O0059/RF19|96|4/2/2019|4/6/2019
EAN/O0094/RF19|96|4/2/2019|4/6/2019
